warid	warname	statenum	stateacr	sdate1	edate1	sdate2	edate2	newcow	cow94	cow00	oldwid	deaths	intnl	outcome
ECW2.1-100	Ottoman-Wahhabi	640	TUR	1816-9-1	1818-9-11	NA	NA	ES-301	NA	NA	NA	27500	NA	1
ECW2.1-105	Liberation of Chile	230	SPN	1817-1-9	1818-4-5	NA	NA	ES-302	NA	NA	NA	2840	NA	2
ECW2.1-110	First Bolivar Expedition	230	SPN	1817-4-11	1819-8-10	NA	NA	ES-303	NA	NA	NA	5000	NA	2
ECW2.1-115	Mexican Independence	230	SPN	1817-8-15	1818-1-1	NA	NA	ES-304	NA	NA	NA	2000	NA	1
ECW2.1-120	British-Kandyan	200	UKG	1817-10-1	1818-11-26	NA	NA	ES-305	IW-302	ES-302	5010	11000	NA	1
ECW2.1-125	British-Maratha	200	UKG	1817-11-6	1818-6-3	NA	NA	ES-306	IW-301	ES-301	5005	4800	NA	1
ECW2.1-130	First Caucasus	365	RUS	1818-6-10	1822-12-15	NA	NA	CW-500	IW-300	CW-500	1005	11000	0	1
ECW2.1-136	Burma-Assam War	775	MYA	1819-01-01	1822-12-31	NA	NA	NS-1502	NA	NA	NA	26000	NA	1
ECW2.1-140	Ottoman Conquest of Sudan	640	TUR	1820-1-1	1821-6-15	NA	NA	ES-307	NA	NA	NA	6500	NA	1
ECW2.1-141	Buenos Aires War	160	ARG	1820-01-08	1820-02-23	NA	NA	NS-1503	NA	NA	NA	1000	NA	2
ECW2.1-145	Sidon-Damascus	640	TUR	1820-6-1	1821-7-21	NA	NA	CW-501	NA	NA	NA	1000	0	2
ECW2.1-150	First Two Sicilies	329	SIC	1820-7-2	1821-3-23	NA	NA	CW-502	CW-602	CW-501	1015	2000	1	1
ECW2.1-150	First Two Sicilies	300	AUH	1821-3-1	1821-3-23	NA	NA	CW-502	CW-602	CW-501	1015	NA	1	1
ECW2.1-151	Siam-Kedah War	800	THI	1821-11-01	1821-12-31	NA	NA	NS-1506	NA	NA	NA	21000	NA	1
ECW2.1-160	Sardinian Revolt	300	AUH	1821-3-10	1821-5-8	NA	NA	CW-505	CW-603	CW-503	1030	NA	1	1
ECW2.1-160	Sardinian Revolt	325	ITA	1821-3-10	1821-5-8	NA	NA	CW-505	CW-603	CW-503	1030	1000	1	1
