warid	warname	statenum	stateacr	sdate1	sdate2	edate1	edate2	side	deaths	outcome	initiate	newcow	cow94	cow00	oldwid
EIW2.1-NA	Central American War	90	GUA	1863-01-23	NA	1863-11-15	NA	1	129	1	1	NS-1550	NA	NA	NA
EIW2.1-NA	Central American War	93	NIC	1863-01-23	NA	1863-11-15	NA	1	NA	1	1	NS-1550	NA	NA	NA
EIW2.1-NA	Central American War	91	HON	1863-01-23	NA	1863-11-15	NA	2	NA	2	2	NS-1550	NA	NA	NA
EIW2.1-NA	Central American War	92	SAL	1863-01-23	NA	1863-11-15	NA	2	NA	2	2	NS-1550	NA	NA	NA
EIW2.1-100	Allied Bombardment of Algiers	200	UKG	1816-8-26	NA	1816-8-30	NA	1	129	1	1	ES-300	NA	NA	NA
EIW2.1-100	Allied Bombardment of Algiers	210	NTH	1816-8-26	NA	1816-8-30	NA	1	13	1	1	ES-300	NA	NA	NA
EIW2.1-100	Allied Bombardment of Algiers	615	ALG	1816-8-26	NA	1816-8-30	NA	2	6000	2	2	ES-300	NA	NA	NA
EIW2.1-105	Turco-Persian	640	TUR	1821-8-1	NA	1822-5-15	NA	1	1000	6	2	ES-309	IW-303	ES-303	105
EIW2.1-105	Turco-Persian	630	IRN	1821-8-1	NA	1822-5-15	NA	2	NA	6	1	ES-309	IW-303	ES-303	105
EIW2.1-110	Franco-Spanish War	220	FRN	1823-4-7	NA	1823-11-13	NA	1	400	1	1	IW-1	IW-001	IS-001	110
EIW2.1-110	Franco-Spanish War	230	SPN	1823-4-7	NA	1823-11-13	NA	2	600	2	2	IW-1	IW-001	IS-001	110
EIW2.1-115	First British-Burmese	200	UKG	1823-9-24	NA	1826-2-24	NA	1	15000	1	2	ES-310	IW-307	ES-305	115
EIW2.1-115	First British-Burmese	775	MYA	1823-9-24	NA	1826-2-24	NA	2	15000	2	1	ES-310	IW-307	ES-305	115
EIW2.1-120	Brazil-Argentine	140	BRA	1826-1-1	NA	1828-10-27	NA	1	4000	2	2	ES-315	NA	NA	120
EIW2.1-120	Brazil-Argentine	160	ARG	1826-1-1	NA	1828-10-27	NA	2	2000	1	1	ES-315	NA	NA	120
EIW2.1-125	Russo-Persian	365	RUS	1826-9-28	NA	1828-2-28	NA	1	5000	1	2	ES-316	IW-313	ES-310	125
EIW2.1-125	Russo-Persian	630	IRN	1826-9-28	NA	1828-2-28	NA	2	2000	2	1	ES-316	IW-313	ES-310	125
EIW2.1-130	First Russo-Turkish	365	RUS	1828-4-26	NA	1829-9-14	NA	1	50000	1	1	IW-4	IW-004	IS-004	135
EIW2.1-130	First Russo-Turkish	640	TUR	1828-4-26	NA	1829-9-14	NA	2	80000	2	2	IW-4	IW-004	IS-004	135
