"warid","warname","statenum","stateacr","sdate1","sdate2","edate1","edate2","deaths","outcome","newcow","cow94","cow00","oldwid"
"ECW2.1-100","Ottoman-Wahhabi",640,"TUR","1816-9-1",NA,"1818-9-11",NA,27500,1,"ES-301",NA,NA,NA
"ECW2.1-1000","Melilla War",230,"SPN","1893-9-29",NA,"1894-3-5",NA,2500,1,"ES-399",NA,NA,NA
"ECW2.1-1005","Mahdist-Italian",325,"ITA","1893-12-21",NA,"1894-7-12",NA,5270,1,"ES-400",NA,NA,NA
"ECW2.1-1010","Tonghak Rebellion",740,"JPN","1894-10-24",NA,"1894-11-28",NA,NA,1,"CW-623",NA,NA,NA
"ECW2.1-1010","Tonghak Rebellion",730,"KOR","1894-2-28","1894-9-14","1894-5-6","1894-11-28",NA,1,"CW-623",NA,NA,NA
"ECW2.1-1015","Second Dutch-Bali",210,"NTH","1894-7-1",NA,"1894-11-22",NA,3000,1,"ES-402","IW-389","ES-379",5190
"ECW2.1-1020","Third Peru",135,"PER","1894-10-15",NA,"1895-3-19",NA,4000,2,"CW-625","CW-703","CW-577",1435
"ECW2.1-1025","Fifth Colombian",100,"COL","1895-1-22",NA,"1895-3-15",NA,1200,1,"CW-626",NA,NA,NA
"ECW2.1-1030","Portuguese-Gaza Empire",235,"POR","1895-2-1",NA,"1895-12-28",NA,2050,1,"ES-403",NA,NA,NA
"ECW2.1-1035","Ecuador Liberals",130,"ECU","1895-2-18",NA,"1895-9-22",NA,1000,2,"CW-627",NA,NA,NA
"ECW2.1-1040","Second Spanish-Cuban",230,"SPN","1895-2-24",NA,"1898-4-21",NA,79000,4,"ES-404","IW-391","ES-381",5195
"ECW2.1-1045","First Gansu Muslim",710,"CHN","1895-4-1",NA,"1896-4-15",NA,10000,1,"CW-628",NA,NA,NA
"ECW2.1-105","Liberation of Chile",230,"SPN","1817-1-9",NA,"1818-4-5",NA,2840,2,"ES-302",NA,NA,NA
"ECW2.1-1050","Japan-Taiwanese",740,"JPN","1895-5-29",NA,"1895-10-21",NA,12560,1,"ES-405",NA,"ES-383",5200
"ECW2.1-1055","Mazrui Rebellion",200,"UKG","1895-7-3",NA,"1896-4-21",NA,1000,1,"ES-406",NA,NA,NA
"ECW2.1-1060","Druze-Turkish",640,"TUR","1895-10-1",NA,"1896-12-15",NA,1000,1,"CW-630","IW-396","CW-580",1450
"ECW2.1-1065","Second Cretan",640,"TUR","1896-3-10",NA,"1897-2-14",NA,1000,4,"CW-631","IW-395","CW-579",1445
"ECW2.1-1070","Second British-Mahdi",200,"UKG","1896-6-7",NA,"1899-11-24",NA,19200,1,"ES-409","IW-314","ES-387",5025
"ECW2.1-1075","Spanish-Philippine",230,"SPN","1896-8-30",NA,"1898-5-1",NA,8000,4,"ES-410","IW-397","ES-365",5210
"ECW2.1-1080","Third Brazil-Canudos",140,"BRA","1896-10-1",NA,"1897-10-5",NA,5200,1,"CW-632","CW-706","CW-578",1440
"ECW2.1-1085","British-South Nigerian",200,"UKG","1897-1-6",NA,"1897-2-25",NA,1020,1,"ES-411","IW-399","ES-388",5220
"ECW2.1-1090","British-Pathan",200,"UKG","1897-7-26",NA,"1898-3-7",NA,1000,1,"ES-412","IW-398","ES-389",5215
"ECW2.1-1095","Hut Tax",200,"UKG","1898-2-1",NA,"1898-5-15",NA,2000,1,"ES-413","IW-414","ES-391",5225
"ECW2.1-110","First Bolivar Expedition",230,"SPN","1817-4-11",NA,"1819-8-10",NA,5000,2,"ES-303",NA,NA,NA
"ECW2.1-1100","American-Philippine",2,"USA","1899-2-4",NA,"1902-7-4",NA,20500,1,"ES-414","IW-400","ES-392",5230
"ECW2.1-1105","Fourth Venezuelan",101,"VEN","1899-5-24",NA,"1899-10-22",NA,2100,2,"CW-633",NA,"CW-583",1460
"ECW2.1-1110","French Conquest of Chad",220,"FRN","1899-7-17",NA,"1900-4-22",NA,1025,1,"ES-415",NA,NA,NA
"ECW2.1-1115","Second Yaqui War",70,"MEX","1899-7-21",NA,"1900-1-18",NA,1600,1,"CW-635",NA,NA,NA
"ECW2.1-1120","Sixth Colombian (War of the 1000 Days)",100,"COL","1899-10-17",NA,"1902-11-21",NA,1e+05,1,"CW-636","CW-709","CW-582",1455
"ECW2.1-1125","Last Ashanti War",200,"UKG","1900-4-2",NA,"1900-9-30",NA,2000,1,"ES-417",NA,NA,NA
"ECW2.1-1130","Somali Rebellion",200,"UKG","1901-3-22",NA,"1904-4-21",NA,4400,1,"ES-419","IW-419","ES-393",5235
"ECW2.1-1130","Somali Rebellion",530,"ETH","1901-3-22",NA,"1904-4-21",NA,NA,1,"ES-419","IW-419","ES-393",5235
"ECW2.1-1135","Fifth Venezuelan",101,"VEN","1901-12-19",NA,"1903-7-19",NA,4000,1,"CW-638",NA,"CW-584",1465
"ECW2.1-1140","Bailundu Revolt",235,"POR","1902-1-1",NA,"1903-12-15",NA,NA,1,"ES-420",NA,NA,NA
"ECW2.1-1145","Kuanhama Rebellion",235,"POR","1902-1-1",NA,"1904-12-15",NA,4000,6,"ES-421",NA,NA,NA
"ECW2.1-115","Mexican Independence",230,"SPN","1817-8-15",NA,"1818-1-1",NA,2000,1,"ES-304",NA,NA,NA
"ECW2.1-1150","British Conquest of Kano & Sokoto",200,"UKG","1903-1-29",NA,"1903-7-27",NA,1000,1,"ES-422",NA,"ES-396",5240
"ECW2.1-1155","Ilinden",640,"TUR","1903-8-2",NA,"1903-11-2",NA,6330,1,"CW-640","IW-406","CW-585",1470
"ECW2.1-1160","First Uruguay",165,"URU","1904-1-1",NA,"1904-9-1",NA,1000,1,"CW-641","CW-712","CW-587",1475
"ECW2.1-1165","Second Dutch-Achinese",210,"NTH","1904-1-1",NA,"1907-12-15",NA,24200,1,"ES-424",NA,NA,NA
"ECW2.1-1170","South West African Revolt",255,"GMY","1904-1-12",NA,"1906-5-4",NA,12800,1,"ES-423","IW-420","ES-397",5245
"ECW2.1-1175","Younghusband Expedition",200,"UKG","1904-3-31",NA,"1904-9-7",NA,2800,1,"ES-425",NA,NA,NA
"ECW2.1-1180","Second Yemen Rebellion",640,"TUR","1904-11-8",NA,"1906-1-10",NA,30000,6,"CW-642",NA,NA,NA
"ECW2.1-1185","Bloody Sunday",365,"RUS","1905-1-22",NA,"1906-1-1",NA,1000,1,"CW-643","CW-715","CW-588",1480
"ECW2.1-1190","Maji-Maji Revolt",255,"GMY","1905-7-31",NA,"1906-6-15",NA,8840,1,"ES-426","IW-422","ES-399",5250
"ECW2.1-1195","Sokoto Uprising",200,"UKG","1906-1-1",NA,"1906-3-10",NA,2080,1,"ES-427",NA,NA,NA
"ECW2.1-120","British-Kandyan",200,"UKG","1817-10-1",NA,"1818-11-26",NA,11000,1,"ES-305","IW-302","ES-302",5010
"ECW2.1-1200","Third British-Zulu",200,"UKG","1906-3-5",NA,"1906-6-10",NA,2356,1,"ES-429","IW-402","ES-400",5255
"ECW2.1-1205","Dembos War",235,"POR","1907-1-1",NA,"1910-12-15",NA,5100,1,"ES-430",NA,NA,NA
"ECW2.1-1210","Romanian Peasant Revolt",360,"RUM","1907-3-15",NA,"1907-4-30",NA,2000,1,"CW-645","CW-718","CW-589",1485
"ECW2.1-1215","Anti-Foreign Revolt",220,"FRN","1907-7-30",NA,"1910-12-15",NA,3150,1,"ES-431","CW-721","CW-590",1490
"ECW2.1-1220","Overthrow of Abd el-Aziz",600,"MOR","1907-8-1",NA,"1908-9-1",NA,1200,2,"CW-646","CW-721","CW-590",1490
"ECW2.1-1220","Overthrow of Abd el-Aziz",220,"FRN","1907-8-7",NA,"1908-6-15",NA,NA,2,"CW-646","CW-721","CW-590",1490
